Name|Price|Score|Votes|Address
Botanical Gardens at Roger Williams Park|N/A|7.8|13|1000 Elmwood Ave
The Village|2|7.8|19|373 Richmond St
Caserta Pizzeria|1|7.8|58|121 Spruce St
Kartabar|2|7.8|55|284 Thayer St
West Side Diner|1|7.8|27|1380 Westminster St
Blackstone Park|N/A|7.8|12|N/A
Pizza J|1|7.8|11|N/A
Circe Restaurant & Bar|4|7.8|40|50 Weybosset St
Bagel Gourmet Olé|1|7.8|37|286 Thayer St
Broadway Bistro|2|7.8|29|205 Broadway
Spirito's Restaurant|3|7.8|16|477 Broadway
Nami|2|7.8|8|Atwells Ave
Spectrum India|N/A|7.8|9|252 Thayer St
Providence Place Mall|N/A|7.8|663|1 Providence Pl
Pinkberry|2|7.8|34|128 Providence Place, Level 3
Showcase Providence Place & IMAX|N/A|7.8|265|10 Providence Pl
Pasha Hookah Bar|1|7.8|11|840 Allens Ave
Original New York System|1|7.8|16|424 Smith St
Pho Paradise|2|7.8|16|337 Broad St
Spike's Junkyard Dogs|1|7.8|44|485 Branch Ave
Figidini|2|7.8|40|67 Washington St
Nara Hookah Lounge|2|7.8|44|248 Atwells Ave
Dolce Gelateria|1|7.8|9|270 Wickenden St
Walgreens|N/A|7.8|13|295 Academy Ave
Lim's Thai & Sushi Restaurant|2|7.8|36|18 S Angell St
Boiler House Bikram Yoga|N/A|7.7|10|166 Valley St, BHC #201
The Hot Club|1|7.7|131|575 S Water St
Providence Power Yoga|N/A|7.7|8|51 Bassett St
Federal Taphouse & Kitchen|2|7.7|22|279 Atwells Ave
Ivy Tavern|2|7.7|37|758 Hope St
Kabob and Curry|2|7.7|90|261 Thayer St
Pot au Feu|3|7.7|12|44 Custom House St
Foo(d) at AS220|2|7.7|30|115 Empire St
Mexico Garibaldi|2|7.7|11|948 Atwells Ave
Mill's Tavern Restaurant|4|7.7|56|101 N Main St
Cilantro Mexican Grill|1|7.7|13|127 Weybosset St
IHOP|2|7.7|90|45 Pleasant Valley Pkwy
Providence Bruins|N/A|7.7|35|N/A
Roots Cafe|N/A|7.7|13|276 Westminster St
Victoria's Secret|N/A|7.7|18|100 Francis St
Lush|N/A|7.7|18|Providence Place
Brown University Bookstore|N/A|7.7|77|244 Thayer St
Blast! Fitness|N/A|7.7|15|333 Adelaide Ave
Amy's Place|1|7.7|30|214 Wickenden St
Rockstar Body Piercing|N/A|7.7|14|267 Thayer St
Boston Sports Club|N/A|7.6|29|131 Pitman St
Poco Loco Tacos|1|7.6|16|1718 Westminster St
Gregg's Restaurant|2|7.6|67|1303 N Main St
Eastside Marketplace|N/A|7.6|83|165 Pitman St
Chilangos Tacqueria & Tequila Bar|2|7.6|30|447 Manton Ave
Yoo Sushi|2|7.6|11|412 Douglas Ave
Opa Hookah Lounge|2|7.6|19|Atwells Ave.
Mijos Tacos|1|7.6|11|N/A
India|2|7.6|62|1060 Hope St
The Point Tavern|2|7.6|29|302 Wickenden St
Pizzico Ristorante|3|7.6|17|762 Hope St
Blaze|2|7.6|18|776 Hope St
Providence City Hall|N/A|7.6|11|25 Dorrance St
Culinary Archives & Museum|N/A|7.6|17|315 Harborside Blvd
Rick's Roadhouse|2|7.6|71|370 Richmond St
Simon's 681|N/A|7.6|18|677 Valley St
The Malted Barley|2|7.6|10|334 Westminster St
Scialo's Brothers Bakery|1|7.6|14|257 Atwells Ave
DePasquale Square|N/A|7.6|13|N/A
Loui's Restaurant|1|7.5|39|286 Brook St
Betty's|1|8.2|21|1076 Charles st.
Jacky's Galaxie|2|8.3|9|1488 Mineral Spring Ave
iLoveKickboxing.com - North Providence|N/A|8.2|14|1385 Mineral Spring Ave
Pauly Penta's Italian Deli|1|8.1|15|1290 Mineral Spring Ave
Jackie's Galaxy|2|8.1|18|1449 Mineral Spring Ave
Ricotti's|1|7.9|12|1360 Mineral Spring Ave
Mr. Nick's|1|7.8|8|1401 Douglas Ave
Cilantro Mexican Grill|1|7.7|15|1658 Mineral Spring Ave
